,Id,Date,Description,Duration_of_experiment,Duration_of_indcution
0,0,07-04-15,Event,13.49,1.64
1,1,07-05-15,Non_Event,19.61,0.54
2,2,07-06-15,Non_Event,19.99,0.66
3,3,07-09-15,Event,6.49,0.72
4,4,07-09-15,Non_Event,20.07,0.53
5,5,07-10-15,Event,16.38,0.80
6,6,07-11-15,Non_Event,11.19,0.95
7,7,07-12-15,Event,8.17,0.49
8,8,07-12-15,Non_Event,10.41,1.17
9,9,07-15-15,Event,9.35,0.61
10,10,07-15-15,Event,12.70,1.18
11,11,07-17-15,Event,14.85,0.60
12,12,07-19-15,Non_Event,11.47,0.38
13,13,07-21-15,Event,8.00,0.48
14,14,07-21-15,Non_Event,23.62,0.38
15,15,07-22-15,Event,16.54,0.72
16,16,07-22-15,Event,20.60,1.32
17,17,07-23-15,Event,6.54,0.64
18,18,07-23-15,Event,20.22,0.44
19,19,07-23-15,Non_Event,22.54,0.79
20,20,07-24-15,Non_Event,17.40,1.18
21,21,07-25-15,Event,7.33,0.97
22,22,07-26-15,Event,14.43,0.28
23,23,07-27-15,Non_Event,8.37,0.94
24,24,07-28-15,Non_Event,20.40,1.60
25,25,07-29-15,Non_Event,5.91,1.77
26,26,07-29-15,Non_Event,22.68,0.56
27,27,07-31-15,Event,6.06,1.09
28,28,08-02-15,Non_Event,13.32,0.56
29,29,08-03-15,Non_Event,8.15,1.16
30,30,08-04-15,Event,7.80,0.48
31,31,08-06-15,Non_Event,6.54,0.57
32,32,08-09-15,Non_Event,8.72,2.00
33,33,08-10-15,Event,7.39,0.12
34,34,08-11-15,Event,8.05,0.39
35,35,08-13-15,Event,6.33,0.62
36,36,08-14-15,Non_Event,8.16,1.14
37,37,08-16-15,Non_Event,16.72,2.24
38,38,08-18-15,Non_Event,6.97,2.31
39,39,08-19-15,Event,7.31,1.69
40,40,08-20-15,Event,5.62,0.50
41,41,08-20-15,Non_Event,9.80,0.43
42,42,08-21-15,Non_Event,9.91,0.57
43,43,08-21-15,Event,18.61,0.44
44,44,08-22-15,Non_Event,12.08,0.53
45,45,08-25-15,Non_Event,6.85,0.76
46,46,08-25-15,Non_Event,20.18,0.86
47,47,08-26-15,Event,6.92,0.35
48,48,08-26-15,Event,17.94,0.28
49,49,08-26-15,Non_Event,19.21,0.21
50,50,08-27-15,Non_Event,6.23,0.22
51,51,08-27-15,Event,19.74,0.36
52,52,08-28-15,Event,20.98,0.94
53,53,08-29-15,Non_Event,7.22,0.48
54,54,08-29-15,Non_Event,16.38,0.80
55,55,08-30-15,Event,8.07,0.58
56,56,08-30-15,Non_Event,10.18,0.49
57,57,08-30-15,Event,12.61,1.68
58,58,08-30-15,Non_Event,19.19,0.55
59,59,08-30-15,Event,20.74,1.13
60,60,08-31-15,Event,6.98,0.48
61,61,08-31-15,Non_Event,8.76,1.02
62,62,08-31-15,Event,20.73,0.57
63,63,09-01-15,Event,7.32,0.33
64,64,09-02-15,Non_Event,18.71,0.39
65,65,09-03-15,Event,6.91,0.32
66,66,09-07-15,Non_Event,9.29,0.62
67,67,09-08-15,Non_Event,18.15,0.84
68,68,09-09-15,Non_Event,19.04,1.52
69,69,08-03-15,Null_Event,15.42,0.98
70,70,08-04-15,Null_Event,11.27,0.40
71,71,08-05-15,Null_Event,15.10,0.43
72,72,08-06-15,Null_Event,13.40,0.93
73,73,08-07-15,Null_Event,13.16,0.61
74,74,08-10-15,Null_Event,14.43,0.36
75,75,08-11-15,Null_Event,14.65,0.92
76,76,08-12-15,Null_Event,13.67,0.30
77,77,08-13-15,Null_Event,14.25,0.43
78,78,08-14-15,Null_Event,14.74,0.91
79,79,08-17-15,Null_Event,11.34,0.67
80,80,08-18-15,Null_Event,14.51,0.51
81,81,08-19-15,Null_Event,14.39,0.70
82,82,08-20-15,Null_Event,11.13,0.66
83,83,08-21-15,Null_Event,15.51,0.79
84,84,08-25-15,Null_Event,13.27,0.62
85,85,08-26-15,Null_Event,12.86,0.77
86,86,08-27-15,Null_Event,12.53,0.50
87,87,08-28-15,Null_Event,14.41,0.43
88,88,09-02-15,Null_Event,15.65,0.34
89,89,09-03-15,Null_Event,15.40,0.52
90,90,09-04-15,Null_Event,15.69,0.60
91,91,09-07-15,Null_Event,15.03,0.66
92,92,09-08-15,Null_Event,14.82,0.81
93,93,09-09-15,Null_Event,15.16,0.94
94,94,09-10-15,Null_Event,14.94,0.79
95,95,09-11-15,Null_Event,12.55,0.57
96,96,09-14-15,Null_Event,13.37,0.94
97,97,09-15-15,Null_Event,14.25,0.72
98,98,09-16-15,Null_Event,14.41,0.71
99,99,09-17-15,Null_Event,11.93,0.68
